Timestamp,CPU Package Temperature (C),CPU Power Consumption (W),Humidity (%),Water Level,Microphone Decibel Level (dB)
2024-11-14 15:33:21,52.0,0.61,22.0,,
2024-11-14 15:33:23,52.75,1.02,21.0,,
2024-11-14 15:33:24,53.25,1.4,21.0,,
2024-11-14 15:33:25,53.125,1.01,21.0,,
2024-11-14 15:33:26,53.25,1.31,21.0,,
2024-11-14 15:33:28,54.25,1.36,20.0,,
2024-11-14 15:33:29,54.75,1.41,20.0,,
2024-11-14 15:33:30,54.625,1.41,20.0,,
2024-11-14 15:33:32,54.125,0.88,20.0,,
2024-11-14 15:33:33,54.375,1.21,20.0,,
2024-11-14 15:33:34,54.125,1.11,20.0,,
2024-11-14 15:33:36,54.875,1.49,20.0,,
2024-11-14 15:33:37,54.625,1.29,20.0,,
2024-11-14 15:33:38,54.375,0.98,20.0,,
2024-11-14 15:33:39,54.375,1.08,20.0,,
2024-11-14 15:33:41,53.875,0.8,20.0,,
2024-11-14 15:33:42,53.875,1.22,20.0,,
2024-11-14 15:33:43,54.125,1.34,20.0,,
2024-11-14 15:33:45,54.125,1.96,20.0,,
2024-11-14 15:33:46,54.625,1.16,20.0,,
2024-11-14 15:33:47,54.375,1.03,20.0,,
2024-11-14 15:33:48,54.5,0.91,20.0,,
2024-11-14 15:33:50,55.5,1.77,20.0,,
2024-11-14 15:33:51,55.625,1.31,20.0,,
2024-11-14 15:33:52,55.75,1.53,20.0,,
2024-11-14 15:33:54,56.125,1.8,20.0,,
2024-11-14 15:33:55,56.0,1.27,20.0,,
2024-11-14 15:33:56,55.875,1.59,20.0,,
2024-11-14 15:33:58,55.375,1.11,20.0,,
2024-11-14 15:33:59,55.125,1.12,20.0,,
2024-11-14 15:34:00,55.0,1.07,20.0,,
2024-11-14 15:34:02,55.25,1.16,20.0,,
2024-11-14 15:34:03,56.0,1.43,20.0,,
2024-11-14 15:34:04,56.125,1.17,20.0,,
2024-11-14 15:34:05,55.75,1.05,20.0,,
2024-11-14 15:34:07,56.125,1.65,20.0,,
2024-11-14 15:34:08,56.625,1.53,20.0,,
2024-11-14 15:34:09,56.75,1.24,20.0,,
2024-11-14 15:34:11,57.125,1.68,20.0,,
2024-11-14 15:34:12,57.125,1.47,20.0,,
2024-11-14 15:34:13,57.375,1.56,20.0,,
2024-11-14 15:34:15,60.625,2.33,20.0,,
2024-11-14 15:34:16,60.375,1.55,20.0,,
2024-11-14 15:34:17,60.125,1.47,20.0,,
2024-11-14 15:34:19,59.0,0.86,20.0,,
2024-11-14 15:34:20,58.5,0.82,20.0,,
2024-11-14 15:34:21,58.0,0.89,20.0,,
2024-11-14 15:34:23,57.5,1.01,20.0,,
2024-11-14 15:34:24,57.75,1.36,20.0,,
2024-11-14 15:34:25,57.375,0.92,20.0,,
2024-11-14 15:34:26,57.125,0.91,20.0,,
2024-11-14 15:34:28,56.75,1.01,20.0,,
2024-11-14 15:34:29,56.5,0.92,20.0,,
